ID,Question,Answer
78,I cancelled my booking the same day I made it. When will the charges be credited?,"When a reservation is cancelled the same day it was booked, funds for the airline portion are not collected. Any pending charges you may have seen would have been a ""pending hold"" for verification. These funds will return to your available credit and will not reflect as a refund. This process normally takes from 3-7 business days, depending on your banking institutions procedures. Please note: Some prepaid credit card companies will hold pending authorizations for up to 30 days."
79,Why was my request for a refund denied?,"Tickets purchased through Travelomind are 100% non-refundable unless otherwise stated. Airline tickets have specific rules regarding changes and cancellations. These rules can not be overwritten by Travelomind. Once you request a cancellation, the rules of your ticket are governed by the airline and any subsequent refund or future travel credit is at their discretion."
80,I have a duplicate reservation when I only wanted one. What can I do?,Changes to your booking can not be done through our website at this time. please contact our Customer Service team for assistance at1-844-327-2373 or Chat on Facebook Messenger..
81,What is the status of a waiver that was requested on my reservation?,"When a waiver is requested with the airline, Travelomind forwards all necessary documents directly to them on your behalf. It is at the discretion of the airline as to when they will review and/or process the request. Often times waivers are not granted until days before travel is due or months after travel should have commenced. We will keep you apprised of any additional documentation needed or when the waiver is approved or denied."
82,How do I change the credit card I used to purchase my reservation?,"Once the transaction has been charged, it is not possible for the credit card to be switched."
83,How do I obtain a breakdown of the taxes on my reservation?,"Given the complexities of tickets to include airport, arrival and departure taxes and fuel surcharges, we recommend you contact the airline directly for a specific breakdown. Your email confirmation will provide total charges including all taxes and fees."
84,"I entered a promo code, how can I be sure I received the discount?","The promo codes are discounts off our transaction service fees. On occasion the transaction service fee is less than the promo code therefore a lesser discount, or no discount at all, can be offered."
85,Why was my future travel credit not applied to my new booking?,Please contact our Customer Service team for assistance at1-844-327-2373 or Chat on Facebook Messenger..
86,I used the wrong credit card to pay for my reservation. Can I change it?,"Once the transaction has been charged, it is not possible for the credit card to be switched."
87,Why is there an international/foreign transaction fee on my credit card statement?,Some banks and credit cards may impose a fee for international transactions if you're making a booking from outside the U.S.. Your bank may convert the payment amount to your local currency and charge you a fee. The exchange rate and foreign transaction fee is determined by your bank on the day the transaction is processed by them.
88,What is your Best Price Guarantee?,"Once your booking is confirmed with Travelomind, we’re confident that you’ve found a great deal. If you find the same itinerary you booked with us at a lower price on our website, or another reputable U.S. travel website, we will either cancel your current itinerary and provide you a full refund, or refund you the entire difference in price. Here’s how it works: Email us at care@travelomind.comalong with the competing offer, the name of the competitor and screenshots of the flights actually available to be booked within 24-hours of receiving your Travelomind booking confirmation. To make a claim under the Best Price Guarantee, you’ll need to provide the above documentation, ensuring that, without limitation, the departure and arrival dates and locations, airline, class, fare, cancellation polity, hotel room, hotel rate and/or car class are exactly the same as your original itinerary with Travelomind. Once we have verified this information, we will process a full refund of the difference between the lower offer and the itinerary you booked or, at our discretion, cancel the itinerary and refund you the entire amount so you can book the lower offer. The following rates are not subject to the Best Price Guarantee: Military, Student, Government, Tour Operator Fares, Bulk Rate or an airline’s “Web Only” Fare."
